Company,Vision
Walgreen Co.,"To be the first choice in health and daily living for everyone in America, and beyond."
Chevron Corporation,"To be the global energy company most admired for its people, partnership and performance."
"Fiserv, Inc.","To be the global leader and innovator in cash management and business banking services through the use of our people, processes and proven solutions."
A.O. Smith Corporation,To be the global leader in applying innovative technology and energy-efficient solutions that provide comfort and convenience to life. We can achieve this vision by delivering water solutions for your home and business.
Equifax Inc.,To be the global leader in information solutions that creates unparalleled insights to solve customer challenges. Good corporate governance is vital to meeting our performance goals by ensuring that our governing processes run smoothly and efficiently and
ABM Industries Incorporated,To be the global leader in Integrated Facility Solutions.
Sonoco Products Company,"To be the global leader in providing high quality, innovative, value-creating packaging solutions that satisfy the customer."
"Micron Technology, Inc.","To be the global leader in the semiconductor industry by developing, promoting, and driving community and education partnerships that strengthen the advancement of science, engineering and technology."
"Cardinal Health, Inc.","To be the healthcare industry leader in providing a diverse, inclusive work environment that reflects the marketplace and communities where we do business while maximizing our competitive advantage through innovation, profit and adaptability."
Wisconsin Energy Corporation,To be the industry leader in customer satisfaction.
"Simon Property Group, Inc.","To be the industry's unquestioned leader.
"
The Dow Chemical Company,"To be the largest, most profitable, most respected chemical company in the world."
"WellCare Health Plans, Inc.","To be the leader in government-sponsored health care programs in partnership with the members, providers, governments and communities we serve."
Domtar Corporation,"To be the leader in innovating fiber-based products, technologies, and services; committed to a sustainable and better future."
"Genworth Financial , Inc.","To be the leader in managing mortgage default risk in Canada, by providing innovation and thought-leadership to the marketplace, delivering value to our customers and preserving the safety and soundness of the Canadian housing market."
United Technologies Corporation,To be the leading distributor and retail operator in the market segments in which we operate.
Laboratory Corporation of America Holdings,"To be the leading esoteric oncology reference laboratory enabling the realization of personalized treatment solutions, present and future.
"
"Total System Services, Inc.","To be the leading global payment solutions provider to those we serve \u2013 our clients, our shareholders and our team members."
"Exterran Holdings, Inc.","To be the leading global provider of oil and gas infrastructure and surface production solutions. We provide innovative customer solutions by delivering our unique combination of capital, engineering, manufacturing and service expertise."
"McCormick & Company, Incorporated","To be the leading global supplier of value-added flavor solutions. Building on strong brands and innovative products, we will provide superior quality and service to customers and consumers around the world."
"Quanta Services, Inc.","To be the leading infrastructure solution provider in markets that we serve, creating exceptional value for our customers, employees, and shareholders."
Unum Group,To be the leading provider of employee benefits products and services that help employers manage their businesses and employees protect their families and livelihoods.
Kansas City Southern,"To be the leading transportation provider both within and between the United States and Mexico by consistently providing superior value to our customers, offering challenging careers to our employees and increasing value to our shareholders.
"
"Wynn Resorts, Limited","To be the leadingprovider and choice of elite, luxurious casinoand resort experiences worldwide."
Raytheon Company,To be the most admired defense and aerospace systems supplier through world-class people and technology.
KeyCorp,To be the most admired financial institution in our markets.
Tractor Supply Company,"To be the most dependable supplier of basic maintenance products to farm, ranch and rural customers."
"Brown Shoe Company, Inc.",To be the most favored and most valued footwear brand -- on her feet and in her closet.
"Ameriprise Financial, Inc.",To be the most respected and referred financial services brand.
Rock-Tenn Company,"To be the most respected company in our industry is founded on our culture of respect of our co workers, our customers, the communities that our home for our operations and for the land that provide us the resources for our business."
Discover Financial Services,To be the most rewarding relationship consumers and businesses have with a financial services company.
Northrop Grumman Corporation,To be the most trusted provider of systems and technologies that ensure the security and freedom of our nation and its allies. 
Newmont Mining Corporation,To be the most valued and respected mining company through industry leading performance.
"Rockwell Automation, Inc.","To be the most valued global provider of power, control and information solutions."
"Applied Industrial Technologies, Inc.","To be the national leader in our industry as recognized by our people, customers and suppliers.
"
"Kindred Healthcare, Inc.","To be the nation's leading provider of skilled nursing, rehabilitation and long-term hospital services. We are committed to the idea of Quality Through People. We realize that to be the best, we must hire the best."
Fluor Corporation,To be the preeminent leader in the global building and services marketplace by delivering world-class solutions.
Sears Holdings Corporation,To be the preferred and most trusted resource for the products and services that enhance home and family life.
"Walter Energy, Inc.","To be the preferred metallurgical coal resources provider, employer and developer. We will be recognized as the leader in safety and operational excellence, growing to meet the demands of global industry to the benefit of all our stakeholders."
Baker Hughes Incorporated,"To be the preferred partner in pre-salt reservoirs, creating, developing and implementing high performance solutions to maximize production and recovery. "
AmerisourceBergen Corp.,To be the preferred partner to healthcare providers and pharmaceutical manufacturers.
"H&R Block, Inc.","To be the preferred tax and financial partner of each of our customers, in every market we serve."
Halliburton Company,To be the preferred upstream service company for the development of global oil and gas assets.
Tupperware Brands Corporation,"To be the premier global direct seller of premium, innovative products."
Axiall Corporation,To be the premier global provider of chemicals and building products.
Anadarko Petroleum Corporation,"To be the premier independent E&P company, most admired for its people, portfolio and performance."
"Host Hotels & Resorts, Inc.",To be the premier lodging real estate company.
Entergy Corporation,"To be the premier provider of nuclear lifecycle services, enhancing value to our owners and customers."
"Old Dominion Freight Line, Inc.",To be the premier transportation solutions company in domestic and global markets served.
American Tower Corporation,"To be the premier wireless infrastructure provider in the eyes of our employees, customers and communities, enabling the deployment of advanced services that make wireless communication possible everywhere."
AAR Corp.,To be the provider of choice for innovative and quality healthcare solutions. 
"The Williams Companies, Inc.",To be the real estate company of choice.
"PSS World Medical, Inc.",To be the recognized leader in alternate site and emerging medical-surgical markets.
Meritor Inc.,"To be the recognized leader in providing advanced drivetrain, mobility, braking and aftermarket solutions for the global commercial vehicle and industrial markets."
DSW Inc.,"To be the retailer of choice for branded footwear and accessories, by exceeding customers' expectations for selection, convenience and value."
CSX Corporation,"To be the safest, most progressive North American railroad, relentless in the pursuit of customer and employee excellence."
"Insight Enterprises, Inc.","To be the trusted advisor to our clients, helping them enhance their business performance through innovative technology solutions."
"Level 3 Communications, Inc.",To be the trusted connection to the networked world.
"Gannett Co., Inc.","To be the trusted, leading media and marketing solutions company at the forefront of a new era in human engagement.
 "
Towers Watson & Co.,"To be the undisputed leader in its business globally, the go-to partner for clients, and the destination employer for great talent."
"United Natural Foods, Inc.","To be the unparalleled leader in the distribution, development and marketing of natural and organic, wellness, and specialty food products by fulfilling the highest standards for quality, consistency, sustainability, product assortments, dependability, value-added support services and integrity in our business and personal relationships."
"W.W. Grainger, Inc.","To be the world leader in offering solutions that help businesses and institutions save time and money as they maintain, repair, and operate their facilities."
Avery Dennison Corporation,"To be the world leader in products, services and solutions that enable and transform the way consumers and businesses gather, manage, distribute and communicate information."
PolyOne Corporation,"To be the world\u2019s premier provider of specialized polymer materials, services and solutions."
"KBR, Inc.","To be the world’s Contractor and Employer of Choice by safely and consistently delivering successful and innovative capital projects and services anywhere in the world’. To that end, KBR’s motto or slogan is ‘We Deliver"
Mead Johnson Nutrition Company,To be the world’s leading nutrition company for babies and children.
Viacom Inc.,"To be the world’s leading, branded entertainment company across television, motion pictures and digital media platforms. We focus on our consumers, enhancing our existing brands, developing new brands and executing on our multiplatform strategy to reach this objective and sustain growth. By capitalizing on our creative strengths and deepening our relationships with audiences, advertisers, distribution affiliates, talent and licensees, Viacom is positioned to achieve continued or greater global success."
"Marsh & McLennan Companies, Inc.","To be the world-class leader, revolutionizing our industry and our client's experience."
McDonald's Corporation,"To be the world's best quick service restaurant experience. Being the best means providing outstanding quality, service, cleanliness, and value, so that we make every customer in every restaurant smile."
CDW Corporation,"To be the world's biggest and best direct technology provider for business, government and education."
"Noble Energy, Inc.",To be the world's energy partner of choice.
Briggs & Stratton Corporation,To be the world's largest producer of air-cooled petrol engines for outdoor power equipment. 
Stryker Corporation,"to be the world's most admired, fastest growing medical technology company"
E.I. du Pont de Nemours and Company,"To be the world's most dynamic science company, creating sustainable solutions essential to a better, safer and healthier life for people everywhere."
USEC Inc.,To be the world's most reliable and competitive supplier of enriched uranium and related services and to expand our role in the global resurgence of nuclear power.
Moody's Corporation,To be the world's most respected authority serving credit-sensitive markets.
New York Life Insurance Company,"To be there when people need us most. We’re built to not only be there for policyholders, but for their children and generations to come. That’s why the decisions we make are not for short-term gains, but for long-term performance. And it’s why we make the time and investments necessary for our Agents and employees to be the best professionals in our industry. Our policyholders deserve our very best. We’re up to the challenge."
"The Bon-Ton Stores, Inc.",To be truly the Right Place to Shop.
Ashland Inc.,To be viewed as the best specialty chemical company in the world.
"Steel Dynamics, Inc.",To be world class in the eyes of our customers. Understanding Clients aspirations and supplying them quality processed steel solutions.
eBay Inc.,To become a global leader in online auction market.
"National Oilwell Varco, Inc.","To become a leading equipment supplier to the global oil and gas industry makes our working environment a very rewarding one, not least for everyone who is interested in forward-looking solutions and technology,"""
Aleris Corporation,To become a leading global provider of scrap-based aluminum and zinc products and services focused on generating the highest level of quality and productivity to exceed stakeholder expectations.
The Goodyear Tire & Rubber Company,"To become a market-focused tire company providing superior products and services to end-users and to our channel partners, leading to superior returns for our shareholders."
Pitney Bowes Inc.,"To become one company for growth, not a holding company but a single, contained company. Those are two definitely different business models."
Cooper-Standard Holdings Inc.,To become one of the 3 largest global automotive suppliers while delivering superior results.
"Calumet Specialty Products Partners, L.P.","To become one of the most integrated, independent specialty hydrocarbon businesses in North America, an organization capable of offering its customers the most diverse line of specialty product solutions available in the market."
"PriceSmart, Inc.",To become part of our members quality of life.
E*Trade Financial Corporation,"To become the a leading and complete financial support and execution portal for individuals, by diversifying and offering every service you need in your financial life, with access to your accounts anytime, anywhere in the whole world.
"
United Stationers Inc.,To become the compelling partner providing seamless business products solutions.
Nash-Finch Company,To become the largest and most admired food distributor in the U.S.
"Berry Plastics Group, Inc.",To become the leading manufacturer of injection molded packaging in the United States.
OfficeMax Incorporated,To become the leading super discount office supply retail store offering a variety of core office supply products and services by featuring more innovative store-within-store formats to better serve the customers across the nation and now the world.
RadioShack Corporation,To become the most admired growth company in America is supported by our A-P-O business model.
"Plains All American Pipeline, L.P.","To become the premier crude oil and NGL transportation and marketing company in the United States and Canada by providing the utmost in value added services to its customers, and in doing so, delivering superior returns to its stakeholders."
"A. Schulman, Inc.","To become the premier global functional coatings and color solutions company, building on our core competencies in glass and color technologies."
Textron Inc.,"To become the premier multi-industry company, recognized for our network of powerful brands, world-class enterprise processes and talented people."
Time Warner Cable Inc.,"To become the premier service provider of internet, phone and television by leading the marketin innovation while enhancing the overall customer experience and satisfaction."
Affinia Group Intermediate Holdings Inc.,"To become the recognized global leader in the design, manufacture and servicing of innovative replacement products and services needed by a great diversity of commercial and industrial markets all around the world."
"Owens-Illinois, Inc.","To become the world’s leading packaging company by achieving sustainable and consistent growth by providing consumer preferred products that enable superior taste, health, visual appeal and value benefits for our business customers’ products."
Ford Motor Company,To become the world's leading consumer company for automotive products and services.
"Nu Skin Enterprises, Inc.",To become the world's leading direct selling company by generating more income for distributors than any other company.
Pfizer Inc.,"To become the world's most valued company to patients, customers, colleagues, investors, business partners and the communities where we work and live."
Exxon Mobil Corporation,"To being the world's premier petroleum and petrochemical company. To that end, we must continuously achieve superior financial and operating results while adhering to the highest standards of business conduct."
Steelcase Inc.,"To bring lasting value to our customers, employees, shareholders, partners, communities and the environment. "
"MetroPCS Communications, Inc.",To bring wireless consumers exciting new choices while delivering an exceptional experience.
"Apollo Group, Inc.","To broaden student opportunity, grow the knowledge base of the communities it serves and advance the educational landscape worldwide."
Hess Corporation,To build a company that will sustain profitable growth and create significant shareholder value. 
"Kinder Morgan, Inc.","To build a different type of energy company by utilizing the master limited partnership (MLP) financial structure as a growth vehicle, something that had never been done before."
"Oneok, Inc.",To build a diversified energy company that provides consistent growth and stable earnings.
Celgene Corporation,"To build a major global biopharmaceutical corporation while focusing on the discovery, the development, and the commercialization of products for the treatment of cancer and other severe, immune, inflammatory conditions."
DaVita HealthCare Partners Inc.,To Build the Greatest Healthcare Community the World has Ever Seen.
"Cisco Systems, Inc.","To change the way people work, live, play and learn."
SunPower Corporation,To change the way the world is powered. 
Service Corporation International,"To compassionately supporting families at difficult times, celebrating the significance of lives that have been lived, and preserving memories that transcend generations, with dignity and honor."
"SkyWest, Inc.","To connecting more people, more often, to the places they love, by becoming the world's first super regional airline."
Costco Wholesale Corporation,To continually provide our members with quality of goods and service at the lowest possible price control inventory. 
Panera Bread Company,To continue to be a leader in the fast-casual dining and quick service industry by putting an emphasis on employee development and providing our  community with healthy food choices while maximizing profits for their shareholders.
"Yum! Brands, Inc.","To continuing the success realized during our first ten years. Our success has only just begun as we look forward to the future, one which promises a long runway for growth, especially on an international level."
Honeywell International Inc.,"To continuously improve the way we do things so that we can capture greater value not just for us, but also for our customers."
Sealed Air Corporation,To create a better way for life.
NYSE Euronext,"To create a completely unique environment that enables global trading for customers of all sizes and sophistications, trading anywhere in the world."
Boston Scientific Corporation,"To create a one-stop shop for heart doctors, who could call on a Boston Scientific-Guidant alliance to treat a range of heart maladies."
"VeriFone Systems, Inc.",To Create and Lead the Transaction Automation Industry Worldwide.
"Arch Coal, Inc.","To create superior customer and shareholder value as the safest, lowest cost and most environmentally responsible supplier of coal-based energy in the world."
"Benchmark Electronics, Inc.","To create superior value for our customers, employees and shareholders. "
Chemtura Corporation,"To create sustainable competitive advantage for our customers by combining our experience and expertise in cutting-edge technologies with a deep understanding of their end-use applications, making us an indispensable partner in solving their toughest problems."
BB&T Corporation,To Create the Best Financial Institution Possible and to be The Best of The Best.
Verizon Communications Inc.,To create the most respected brand in communications.
Allegheny Technologies Incorporated,"To create the world's leading specialty materials company. The cornerstones of our value system are based on achieving the highest ethical standards, maintaining strong customer focus and providing exciting opportunities for our employees."
"American Financial Group, Inc.","To deliver financial solutions that fulfill today's needs and tomorrow's dreams to be a trusted partner delivering long-term value to our customers, employees and investors."
"EMCOR Group, Inc.",To deliver sustainable value and to be admired by those whose lives we touch.
Symantec Corporation,"To deliver the face-to-face insights, information and experiences you need to secure and manage your information-driven organization."
Crown Castle International Corp.,"To deliver the highest level of service to our customers at all times  striving to be their critical partner as we assist them in growing efficient, ubiquitous wireless networks."
"Avnet, Inc.","To deliver the highest value to our customers, suppliers, employees & shareholders as the premier technology marketing distribution and services company, globally."
"Live Nation Entertainment, Inc.","To deliver the supreme 36 degree, full-service concert experience to the fan by offering convenience through our cashless system which creates smaller lines."
AT&T Inc.,"To design and create in this decade the new global network, processes, and service platforms that maximize automation, allowing for a reallocation of human resources to more complex and productive work."
Molex Incorporated,"To design anywhere, manufacture anywhere and sell anywhere."
"Team Health Holdings, Inc.","To develop the best teams of healthcare professionals driven to advance patient care through leadership, innovation, and teamwork."
"Gilead Sciences, Inc.","To discover, develop and commercialize innovative therapeutics in the areas of unmet medical need that improve patient care."
Flowserve Corporation,"To distinguish ourselves to our customers by delivering integrated flow management solutions as a global, unified, customer-centric business."
"Prudential Financial, Inc.","To distinguish Prudential as an admired multinational financial services leader, trusted partner, and provider of innovative solutions for growing and protecting wealth."
"Popular, Inc.",To do things the right way to help advance the development of the communities where we have a presence. 
Dresser-Rand Group Inc.,To earn client loyalty for life.
"Constellation Brands, Inc.",To elevate life with every glass raised.
"Under Armour, Inc.",To Empower Athletes Everywhere.
Kellogg Company,To enrich and delight the world through foods and brands that matter.
"Analog Devices, Inc.",To enriching people lives through signal processing technologies. We transform people experience with technology by bridging the analog and digital worlds.
DTE Energy Company,To establish DTE Energy as the premier regional integrated energy company by providing sustained earnings growth.
The Clorox Company,To expand its reach to customers. We desire toimprove the lives of people all over the world with innovative products that also support our environment.
Esterline Technologies Corporation,"To expand the horizons of user interface technologies, we will proactively anticipate customer needs, provide focused services, and offer collaborative solutions that will consistently exceed expectations.
"
The Walt Disney Company,"To give our guests opportunities to create memories with their friends, families and loved ones that will last forever. "
"Enbridge Energy Partners, L.P.","To go beyond by building on our pipeline expertise, technology and people to be the company of choice."
The First American Financial Corporation,"To grow our company, improve our customers experience, develop our employees, and operate efficiently and profitably."
The Chubb Corporation,To grow our position as the market leader in the overall provision of security and fire safety solutions.
"Sonic Automotive, Inc.",To have Retail Automotive Industry Leadership.
The Toro Company,"To help customers beautify and preserve the outdoor landscapes, with environmentally responsible solutions of customer-valued quality and innovation."
"SAIC, Inc.","To help ensure we remain competitive in the years ahead, we are transforming our core business
processes and systems. Several efforts are already under way, including the establishment of a new shared services center in Oak Ridge, Tenn., that will provide many transaction-based functions in human resources, finance, procurement, and administration. We are also investing in our science and technology capabilities, internal research and development, and in our people, in areas such as management training, employee engagement, and career development."
"Nike, Inc.","To help NIKE, Inc. and its consumers thrive in a sustainable
economy where people, profit and planet are in balance."
Regions Financial Corporation,"To help our customers and communities realize their dreams by anticipating, understanding and meeting financial needs."
"Stericycle, Inc.","To help our customers fulfill their promise by providing solutions that protect people and brands, promote health and safeguard the environment."
Humana Inc.,To help people achieve lifelong well-being.
"Autodesk, Inc.","To help people imagine, design, and create a better world."
Brunswick Corporation,To help People live life Well.
The Scotts Miracle-Gro Company,To help people of all ages express themselves on their own piece of the earth.
The Estee Lauder Companies Inc.,To help women today look and feel their most beautiful and our Beauty Advisors are the most important people to us - as they are the powerful force that bring this vision to life. Every day with every customer.
"Vanguard Health Systems, Inc.",To improve the quality of life of every patient who enters our doors.  Our approach makes us unique and defines our future.  
ManpowerGroup Inc.,To lead in the creation and delivery of innovative workforce solutions and services that enable our clients to win in the changing world of work.
Cognizant Technology Solutions Corporation,To lead sustainable growth with environment friendly practices and responsible use of natural resources.
Tech Data Corporation,"To lead the global IT distribution industry in cost efficiency, profitability, service levels and targeted market penetration."
"Dole Food Company, Inc.","To lead the industry in nutrition research and education.Goals with a corporate philosophy of adhering to the highest ethical conduct in all its business dealings, treatment of its employees, and social and environmental policies."
Jones Lang LaSalle Incorporated,To lead the transformation of the real estate industry by making a positive impact both in and beyond our business.
"Donaldson Company, Inc.",To Lead the World in Filtration Solutions.
"Chiquita Brands International, Inc.","To lead the world in fresh, healthy, branded foods."
WABCO Holdings Inc.,To lead the world in the creation and supply of products and systems that enhance the SAFETY and EFFICIENCY of commercial vehicles.
Cablevision Systems Corporation,"To maintain our unrivaled service by continuously updating our package of channels combined with a high-quality after sales services, a permanent update on our coverage, and Exclusive channels' distribution agreements."
American Express Company,To make American Express the world's most respected service brand.
Bed Bath & Beyond Inc.,To make an environmental impact in the community while providing an excellent walkway surface for staff recreation.
SLM Corporation,"To make education accessible and affordable for all students. But it doesn't stop there \u2014 our company continues to expand into new and lucrative areas, such as home purchase financing and debt management."
ANN INC.,"To make two distinct experiences united by a vision to make every woman look, feel and be her best."
"Weight Watchers International, Inc.","To making all members feel motivated, inspired, cared for, and part of the group."
American Family Ins. Group,"To maximize customer value through industry-leading service, exceptional claims experiences and products that build long-term relationships."
CMS Energy Corporation,"To meet the future energy needs of Michigan customers while continuing to protect the land, air and water resources we all treasure."
Campbell Soup Company,"To nourish the lives of people everywhere, every day."
Sanmina,"To offer customers complete end-to-end supply chain solutions we’ve developed a suite of industry leading precision machining services. Whatever the size, volume or material of the product, we provide solutions proven to drive down costs and shorten lead times while simplifying the supply chain."
"Medtronic, Inc.","To operate responsibly in all facets where our business intersects with society, and To leverage our resources, assets, and expertise to catalyze dramatic improvement in the lives affected by chronic disease."
The J.M. Smucker Company,"To own and market north american food brands that hold the #1 market position in their
respective categories, we also believe it is important to embrace a global perspective for long-term growth."
"Apple, Inc.","To produce high-quality, low cost, easy to use products that incorporate high technology for the individual. We are proving that high technology does not have to be intimidating for noncomputer experts."
"Huntington Ingalls Industries, Inc.","To protect the health and safety of our employees, our environment and community while providing quality products and services in support of America\u2019s energy security and national defense-partnering with our work force, customers and key alliances.\n1. Par"
Cintas Corporation,To provide a product or service to every business in North America.
"HCA Holdings, Inc.","To provide culturally competent care to every patient we serve. We will foster a culture of diversity and inclusion across all areas of our company that embraces and enriches our workforce, physicians, patients, partners and communities."
Zale Corporation,To provide guests with quality merchandise at affordable prices. 
Philip Morris International Inc.,"To provide high quality and innovative products to adult smokers, generate superior returns for shareholders, and reduce the harm caused by smoking while operating our business sustainably and with integrity."
Occidental Petroleum Corporation,"To provide operational excellence through ->
1. Reliable, competitively priced supply options.
2. Efficient transaction administration from scheduling through billing.
3. Responsiveness to customers' needs."
Amica Mutual Insurance Co.,To provide quality benefits and educational and prevention programming to employees and their families for optimal health.
Abbott Laboratories,"To provide quality for patients everywhere. To meet the needs of patients who live with vision challenges and look for greater freedom from the limitations of eyeglasses, our products include leading laser vision correction and cataract technologies."
"Hologic, Inc.","To provide superior medical products, innovative imaging technology, premium diagnostics, and ""best in class"" surgical products that improve the quality of women's healthcare. "
"Acuity Brands, Inc.","To provide superior products, services, and solutions that best support the needs of our customers for both indoor and outdoor lighting applications. "
"PetSmart, Inc.","To provide Total Lifetime Care SM for every pet, every parent, every time\u2014which we do by offering superior products, unmatched services and superb customer service to pet parents and their pets."
"Harris Teeter Supermarkets, Inc.","To providing an enjoyable, diverse workplace with growth opportunities for all who strive to succeed. We will provide industry leading employee benefits and a safe, stable work environment for our staff. We know we can only be as successfulas our team."
"Omnicare, Inc.","To reach the pinnacle of success and scale new heights in quality and commitment with simple,straightforward virtues like hard work, sincerity and honesty."
"Valmont Industries, Inc.","To recognized throughout the world as an industry leader  in engineered products and services for infrastructure, and water  conserving irrigation equipment for agriculture. We grow our  businesses by leveraging our existing products, markets and  processes. We recognize that our growth will only create  shareholder value if, at the same time, we exceed our cost  of capital. Essential to our success is a company-wide  commitment to customer service and innovation, and the ability  to be the best cost producer for all products and services we  provide. Recognizing that our employees are the cornerstone  of our accomplishments, we pride ourselves on being people  of passion and integrity who excel and deliver results."
The Progressive Corporation,To reduce the human trauma and economic costs associated with automobile accidents. We do this by providing our customers with services designed to help them get their lives back in order again as quickly as possible.
"Lorillard, Inc.",To Responsibly Bring Newport Pleasure to All Adult Smokers.
Adobe Systems Incorporated,To revolutionize how the world engages with ideas and information.
"Discovery Communications, Inc.","To satisfy curiosity and make a difference in people's lives by providing the highest quality content, services and products that entertain, engage and enlighten."
Fannie Mae,To serve America's housing market. We don\u2019t lend money to home buyers but we do work with lender partners to make affordable financing available for people who are ready to buy a home. We want buyers to find a home and a mortgage they can afford over the 
SCANA Corporation,"To serve our customers profitably. While competition and technological advances constantly result in profound changes in the way we work, we will still hold ourselves to the same high professional and ethical standards our customers have come to expect."
"Marriott International, Inc.",To shape future global commerce by delivering the most secure and innovative payment solutions.
CareFusion Corporation,To share resources with our global distribution partners.
"The Men's Wearhouse, Inc.",To strive every day to provide world-class service to our customers and each other.
"Community Health Systems, Inc.",To strive to provide access to quality health care that is patient-focused in delivery and maximizes all available resources.
"Autoliv, Inc.","To substantially reduce traffic accidents, fatalities and injuries."
Apache Corporation,"To successfully advocate a sustainable future, Apache believes it is essential to continue to deliver profitable, long-term growth. We are committed to efficiently increasing production, focusing on rate of return, reducing risk through diversified and global operations and maintaining a strong balance sheet. As we focus on execution and the beneficial growth of our oil and gas production, Apache remains dedicated to operating responsibly and building lasting relationships through commitments to the environment, education, civic improvement and rewarding careers. "
"Dick's Sporting Goods, Inc.",To the community and the growth of sports is a perfect match for what Dick's Sporting Goods Park represents.
"St. Jude Medical, Inc.","To transform the treatment of expensive, epidemic diseases."
"Securian Financial Group, Inc.",To use the power of ingenuity and the spirit of mutuality to create financial security and long-term value for our customers.
Hewlett-Packard Company,"To view change in the market as an opportunity to grow; to use our profits and our ability to develop and produce innovative products, services and solutions that satisfy emerging customer needs."
Cooper Tire & Rubber Company,"Together around the world. One team One goal: Creating superior value for our customers, employees, partners and shareholders."
GameStop Corp.,"Together, we hold a passion for gaming, a commitment to our industry and a disciplined business perspective to continuously drive value with shareholders, customers, vendors and employees."
AGL Resources Inc.,"Transform the warranty industry by providing exceptional value and peace of mind through home
service maintenance and leasing products. Serve the AGL Resources family and other aligned utilities by providing energy-related products and services to their customers."
Reynolds American Inc.,"Transforming tobacco is a bold vision that we believe in, and our journey is well under way."
Windstream Corporation,"Transforming Windstream from a rural, voice-oriented telephone company into a nextgeneration
communications and technology solutions provider focused on growth."
"Universal Health Services, Inc.",UHS offers vision coverage through a plan that has one of the largest networks of participating doctors and locations nationwide.
Union Pacific Corporation,"Union Pacific is committed to be a railroad where our customers want to do business, our employees are proud to work, shareholder value is created and the safety of the public and our
employees is our top priority."
Southwest Airlines Co.,"vision for a sustainable future is one where there will be a balance in our business model between Employees and community, the environment, and our financial viability. In order to protect our world for future generations and uphold our commitments to our Employees, Customers, and other Stakeholders, we will strive to lead our industry in innovative efficiency that conserves natural resources, maintains a creative and innovative workforce, and gives back to the communities in which we live and work."
"Northwestern Mutual Life Insurance Company,Inc.","We aim to be the pre-eminent financial security firm by consistently focusing on one ambition: to have a meaningful impact on our financial representatives and staff, our clients, and our communities that will create a legacy for future generations."
"American International Group, Inc.","We aim to be the provider of choice for insurance solutions and superior customer service in every corner of the world. As we do so, we follow a set of cultural principles that shape how we act both individually and together:  
 Innovation-> We encourage change, always pursuing promising opportunities for our clients, our partners and ourselves   
 World citizenship-> We embrace diversity and foster a culture that promotes teamwork and inclusion to pursue common good   
 Partnership-> We create the future by working together and with our clients in an atmosphere of trust and confidence    
 Integrity->At the heart of everything we do is an unshakable commitment to honesty, fairness and respect   "
"Johnson Controls, Inc.","We aim to leverage our global approach and apply it locally.Our global sourcing and supply chain objectives -> 
1. Make Johnson Controls easy to do business with.
2. Develop global sourcing and supply chain strategies to compliment our marketplace.
3. Ensure all significant global sourcing and supply chain activities are appropriately informed, planned and executed in an ethical and compliant and sustainable manner
4. Seek value for money in sourcing decisions
Ensure the effective and appropriate selection, development, management and measurement of our suppliers
5. Develop sourcing skills based training
6. Leverage applicable technology solutions "
"Liberty Global, Inc.","We anticipate a world in which consumers are able to \u201cConnect,\nDiscover, and Be Free\u201d. Our broadband internet, voice, and video\nservices, as well as our innovative products empower millions of\npeople to discover and experience the endless possibilities\nof"
"Applied Materials, Inc.",We apply nanomanufacturing technology to improve the way people live.
"Lincoln Electric Holdings, Inc.","We are a global manufacturer and the market leader of the highest quality welding, cutting and joining products. Our enduring passion for the development and application of our technologies allows us to create complete solutions that make our customers more productive and successful. We will distinguish ourselves through an unwavering commitment to our employees and a relentless drive to maximize shareholder value."
"Sanderson Farms, Inc.","We are a successful, growing publicly-held company, respected in the communities in which we live and the industries of which we are a part.
"
"MetLife, Inc.","We are a world class financial services firm comprised of a team of dynamic leaders, financial professionals and representatives focused on client advocacy and dedicated to outstanding service to our clients."
"Forest Laboratories, Inc.",We are accountable and socially responsible. We never compromise on quality. We deliver what we promise.
"Asbury Automotive Group, Inc.",We are building the foundation today that will change the way we do business tomorrow.
Sprint Nextel Corporation,"We are committed to excellence in all we do. It is demonstrated through our leadership in the communications industry, our emphasis on innovation in our product development and the way we conduct ourselves ethically in our everyday business affairs. "
Sigma-Aldrich Corporation,"We are customer-centric. From our structure, to our product and service offerings, everything we do is centered on our customers. Scientists have relied on Sigma-Aldrich as a trusted research and development partner for many years."
"Raymond James Financial, Inc.",We are focused on fulfilling our mutual regulatory and risk management responsibilities in a way that will ensure the highest level of financial advisor satisfaction.
"Expedia, Inc.","We are passionate about travel. We are a company of travelers who come to work every day with passion to make travel better.We are innovative. We use our collective intelligence to invent technology and create products to simplify and improve travel for our customers and partners.We are enterprising. We relentlessly seek out opportunity. We take risks, act with purpose and always work together to find a way to get the job done."
Phillips 66,"We are Phillips 66, and our employees, suppliers, and partners share a vision to provide energy and improve lives. We manufacture energy and are shaping the U.S. energy revolution with products such as gasoline, diesel, jet fuel and lubricants for transportation, natural gas and natural gas liquids for powering businesses and heating homes, and petrochemicals, polymers and plastics found in cars, electronics and everyday goods. We provide high quality jobs and deliver value to our shareholders"
"Advance Auto Parts, Inc.",WE are the one of the leading plastic automotive parts manufacturer and hub of ASEAN market automotive parts with international standards onto worldwide.
Valero Energy Corporation,"We are the premier supplier promoting simultaneous purchasing of clean fuels, services and products of convenience, in response to customers’ needs.We includes our employees our most important asset—as well as our business associates and partners. “Premier supplier” means the most reliable, most customer-responsive supplier that has the best workplace environment and operational performance in the industry. Clean fuels” refers to high quality and environmentally added value petroleum products that we refine, including renewable fuels and that offer consumers the best quality-price ratio. “Convenience” consists in offering through a single location, fuels, services and products that meet the growing needs of our customers."
